Grundbuchamt/ Ort ;Anlage;Kaufpreis;Seite;Verkäufer:;Grundbuchblatt;Bezirk ;Eigentümer ;Rechtsnachfolger ;Ifd. Nummer ;Gemarkung;Flur ;Flurstück;Katastergröße (m^2);ca. Verkaufsgröße (m^2);WE - Nr.;SU - Nr.;falls zutreffend: Anteil;Bodenrichtwert 2024 (€/m^2);unknown_value;Bodenrichtwert 2016 ;Amnmerkungen Bodenrichtwert 2016 ;Grundstückspreise auf basis Bodenrichtwerte 2016;Adressen;comment;Nutzung laut Thelen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;17;Dorsten;19;85;452;nicht genannt;93900;1236;nicht zutreffend ;260;117.520,00;175;;79.100,00;Lilienstraße 2, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;19;Dorsten;19;87;491;nicht genannt;93900;1237;nicht zutreffend ;260;127.660,00;175;;85.925,00;Lilienstraße 6, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;21;Dorsten;19;89;448;nicht genannt;93900;1238;nicht zutreffend ;260;116.480,00;175;;78.400,00;Lilienstraße 10, 46284 Dorsten;;;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;7;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;24;Dorsten;19;92;479;nicht genannt;93900;868;nicht zutreffend ;260;124.540,00;175;;83.825,00;Lilienstraße 16, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;26;Dorsten;19;94;452;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;117.520,00;175;;79.100,00;Lilienstraße 20, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;27;Dorsten;19;77;651;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;169.260,00;175;;113.925,00;Lilienstraße 24, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;27;Dorsten;19;76;24;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;6.240,00;175;;4.200,00;Lilienstraße 24, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;29;Dorsten;19;73;824;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;214.240,00;175;;144.200,00;Lilienstraße 28, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;29;Dorsten;19;74;23;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;5.980,00;175;;4.025,00;Lilienstraße 28, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;31;Dorsten;19;41;525;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;136.500,00;175;;91.875,00;Lilienstraße 21, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
